split_id,method,n_trees,accuracy,auc_roc,f1
3,xgb_matched,2,0.762712,0.833333,0.720000
3,xgb_matched,3,0.762712,0.828704,0.720000
3,xgb_matched,4,0.779661,0.837384,0.745098
3,xgb_matched,5,0.779661,0.843750,0.745098
3,xgb_matched,6,0.779661,0.887153,0.734694
3,xgb_matched,7,0.779661,0.880787,0.745098
3,xgb_matched,8,0.779661,0.872106,0.745098
3,xgb_matched,9,0.779661,0.870949,0.745098
3,xgb_matched,10,0.796610,0.876157,0.760000
3,xgb_matched,11,0.796610,0.880787,0.760000
3,xgb_matched,12,0.796610,0.879630,0.760000
3,xgb_matched,13,0.796610,0.886574,0.760000
3,xgb_matched,14,0.796610,0.881944,0.760000
3,xgb_matched,15,0.796610,0.883681,0.760000
3,xgb_default,1,0.796610,0.839120,0.750000
3,xgb_default,2,0.847458,0.857639,0.830189
3,xgb_default,3,0.830508,0.857639,0.807692
3,xgb_default,4,0.779661,0.887731,0.745098
3,xgb_default,5,0.796610,0.885417,0.769231
3,xgb_default,6,0.813559,0.877315,0.784314
3,xgb_default,7,0.813559,0.878472,0.784314
3,xgb_default,8,0.813559,0.881944,0.784314
3,xgb_default,9,0.796610,0.887731,0.760000
3,xgb_default,10,0.796610,0.884259,0.760000
3,xgb_default,11,0.813559,0.898148,0.784314
3,xgb_default,12,0.796610,0.896991,0.760000
3,xgb_default,13,0.796610,0.894676,0.760000
3,xgb_default,14,0.796610,0.887731,0.760000
3,xgb_default,15,0.830508,0.892361,0.807692
4,xgb_matched,1,0.694915,0.743634,0.500000
4,xgb_matched,2,0.728814,0.782986,0.666667
4,xgb_matched,3,0.745763,0.833912,0.666667
4,xgb_matched,4,0.796610,0.899884,0.727273
4,xgb_matched,5,0.779661,0.898727,0.711111
4,xgb_matched,6,0.796610,0.918403,0.739130
4,xgb_matched,7,0.813559,0.923611,0.765957
4,xgb_matched,8,0.830508,0.929398,0.782609
4,xgb_matched,9,0.830508,0.928241,0.800000
4,xgb_matched,10,0.881356,0.942130,0.857143
4,xgb_matched,11,0.830508,0.935185,0.800000
4,xgb_matched,12,0.898305,0.944444,0.884615
4,xgb_matched,13,0.864407,0.945023,0.840000
4,xgb_matched,14,0.898305,0.947338,0.884615
4,xgb_matched,15,0.898305,0.942708,0.884615
4,xgb_default,1,0.694915,0.760995,0.625000
4,xgb_default,2,0.711864,0.810185,0.666667
4,xgb_default,3,0.728814,0.860532,0.692308
4,xgb_default,4,0.813559,0.904514,0.792453
4,xgb_default,5,0.796610,0.916088,0.777778
4,xgb_default,6,0.796610,0.917824,0.777778
4,xgb_default,7,0.830508,0.931713,0.807692
4,xgb_default,8,0.847458,0.943287,0.823529
4,xgb_default,9,0.830508,0.939815,0.807692
4,xgb_default,10,0.813559,0.932870,0.784314
4,xgb_default,11,0.813559,0.939815,0.784314
