split_id,method,n_trees,accuracy,auc_roc,f1
2,xgb_matched,1,0.628319,0.970993,0.771739
2,xgb_matched,2,0.929204,0.970322,0.946667
2,xgb_matched,3,0.946903,0.970825,0.959459
2,xgb_matched,4,0.946903,0.970154,0.959459
2,xgb_matched,5,0.955752,0.971496,0.965986
2,xgb_matched,6,0.955752,0.971496,0.965986
2,xgb_matched,7,0.964602,0.971496,0.972603
2,xgb_matched,8,0.973451,0.970825,0.979310
2,xgb_matched,9,0.973451,0.970825,0.979310
2,xgb_matched,10,0.973451,0.970154,0.979310
2,xgb_matched,11,0.973451,0.977700,0.979310
2,xgb_matched,12,0.973451,0.977700,0.979310
2,xgb_matched,13,0.973451,0.977364,0.979310
2,xgb_matched,14,0.973451,0.977029,0.979310
2,xgb_matched,15,0.973451,0.976526,0.979310
2,xgb_default,1,0.929204,0.965962,0.946667
2,xgb_default,2,0.929204,0.966801,0.945205
2,xgb_default,3,0.973451,0.970154,0.979310
2,xgb_default,4,0.973451,0.970825,0.979310
2,xgb_default,5,0.973451,0.970154,0.979310
2,xgb_default,6,0.973451,0.969148,0.979310
2,xgb_default,7,0.973451,0.968813,0.979310
2,xgb_default,8,0.973451,0.968813,0.979310
2,xgb_default,9,0.964602,0.966801,0.972603
2,xgb_default,10,0.973451,0.965124,0.979310
2,xgb_default,11,0.964602,0.964789,0.972603
2,xgb_default,12,0.973451,0.964789,0.979310
2,xgb_default,13,0.964602,0.964453,0.972603
2,xgb_default,14,0.964602,0.965292,0.972603
2,xgb_default,15,0.973451,0.964286,0.979310
3,xgb_matched,1,0.628319,0.949698,0.771739
3,xgb_matched,2,0.911504,0.977700,0.934211
3,xgb_matched,3,0.920354,0.979041,0.940397
3,xgb_matched,4,0.929204,0.978370,0.945946
3,xgb_matched,5,0.938053,0.979376,0.952381
3,xgb_matched,6,0.938053,0.979041,0.952381
3,xgb_matched,7,0.938053,0.981388,0.952381
3,xgb_matched,8,0.955752,0.981724,0.965517
3,xgb_matched,9,0.946903,0.980047,0.958333
3,xgb_matched,10,0.938053,0.980215,0.951049
3,xgb_matched,11,0.938053,0.979209,0.951049
3,xgb_matched,12,0.938053,0.979376,0.951049
3,xgb_matched,13,0.938053,0.986754,0.951049
3,xgb_matched,14,0.938053,0.983903,0.951049
3,xgb_matched,15,0.955752,0.983903,0.965035
3,xgb_default,1,0.893805,0.945171,0.921053
3,xgb_default,2,0.938053,0.968478,0.950355
3,xgb_default,3,0.938053,0.968981,0.950355
3,xgb_default,4,0.929204,0.970322,0.943662
3,xgb_default,5,0.946903,0.974011,0.957143
3,xgb_default,6,0.929204,0.975520,0.943662
3,xgb_default,7,0.938053,0.976861,0.950355
3,xgb_default,8,0.946903,0.976861,0.957143
3,xgb_default,9,0.946903,0.977197,0.957143
3,xgb_default,10,0.946903,0.985748,0.957143
3,xgb_default,11,0.955752,0.983233,0.964029
3,xgb_default,12,0.955752,0.980550,0.964029
3,xgb_default,13,0.955752,0.985245,0.964029
3,xgb_default,14,0.946903,0.988934,0.957143
3,xgb_default,15,0.946903,0.988934,0.957143
4,xgb_matched,1,0.628319,0.959423,0.771739
4,xgb_matched,2,0.867257,0.980047,0.904459
4,xgb_matched,3,0.911504,0.978706,0.934211
4,xgb_matched,4,0.920354,0.980047,0.940397
4,xgb_matched,5,0.920354,0.977364,0.940397
4,xgb_matched,6,0.920354,0.977029,0.940397
4,xgb_matched,7,0.929204,0.978370,0.946667
4,xgb_matched,8,0.929204,0.980718,0.946667
4,xgb_matched,9,0.938053,0.980718,0.953020
4,xgb_matched,10,0.938053,0.980047,0.953020
4,xgb_matched,11,0.938053,0.979712,0.953020
4,xgb_matched,12,0.946903,0.979376,0.958904
4,xgb_matched,13,0.955752,0.978035,0.965986
4,xgb_matched,14,0.946903,0.978706,0.958904
4,xgb_matched,15,0.946903,0.978203,0.958904
4,xgb_default,1,0.876106,0.940309,0.907895
4,xgb_default,2,0.902655,0.952213,0.926174
4,xgb_default,3,0.911504,0.971160,0.932432
4,xgb_default,4,0.929204,0.971160,0.945205
4,xgb_default,5,0.938053,0.970825,0.951724
4,xgb_default,6,0.938053,0.974681,0.951724
4,xgb_default,7,0.938053,0.975687,0.951724
4,xgb_default,8,0.946903,0.975687,0.958333
4,xgb_default,9,0.946903,0.978706,0.958333
4,xgb_default,10,0.946903,0.977364,0.958333
4,xgb_default,11,0.938053,0.977700,0.951724
4,xgb_default,12,0.946903,0.977364,0.958333
4,xgb_default,13,0.938053,0.987592,0.951724
4,xgb_default,14,0.938053,0.986922,0.951724
4,xgb_default,15,0.938053,0.987257,0.951724
